LeadID,DateAdded,ZipCode,LoanPurpose,LeadSourceGroup,LoanNumber,TotalLoanAmount,BorrowerAge,BorrowerYearsInSchool,BorrowerTotalMonthlyIncome,CoBorrowerTotalMonthlyIncome,BorrowerOwnRent,CreditScore,CLTV,DTI,FundingDate,RateLockDate,BorrowerGender
542231,20-05-20 9:01,76248,Refinance,Internet,41012010144,374700,63,18,17083.33,0,Own,719,86.93,22,,01-06-20,Male
542882,22-05-20 8:12,77536,Refinance,Internet,41012010148,184000,58,12,5984.67,3440.67,Own,712,80,38,13-07-20,26-05-20,Male
554761,04-06-20 8:46,76476,Refinance,Internet,41012011058,100000,54,16,2114.66,0,Own,808,80,47,,23-06-20,Female
554762,04-06-20 8:46,77059,Refinance,Internet,41012011060,285000,44,18,7365.75,0,Own,749,95,39,01-10-20,19-06-20,Male
554763,04-06-20 8:00,78681,Refinance,Internet,41012011070,247500,47,18,40000,0,Own,790,75,21,,05-06-20,Male
554349,02-06-20 13:28,75057,Home Equity/Cash Back Refi,TV,41012011090,70000,62,16,1785.9,1150.5,Own,652,28,44,,05-06-20,Female
554766,04-06-20 8:01,78613,Refinance,Internet,41012011091,324000,49,16,14441.46,5000,Own,744,80,30,24-07-20,05-06-20,Male
555129,05-06-20 11:25,77573,Refinance,Internet,41012011121,180000,49,16,10452.06,0,Own,629,69.9,37,,05-06-20,Male
503924,03-04-20 11:20,75052,Refinance,Internet,41012011122,157712,58,14,5708,0,Own,732,66.52,23,,05-06-20,Male
554957,04-06-20 15:50,76208,Home Equity/Cash Back Refi,TV,41012011160,324000,51,14,11672,3523.62,Own,773,79.02,24,29-07-20,10-06-20,Male
555010,05-06-20 7:44,75119,Refinance,Internet,41012011161,100000,76,19,2841,0,Own,699,51.28,39,,05-06-20,Male
555211,05-06-20 15:08,77375,Home Equity/Cash Back Refi,Internet,41012011197,102500,57,14,1982.42,0,Own,767,39.72,49,19-08-20,10-06-20,Male
530188,08-05-20 13:22,75078,Refinance,Repeat Client,41012011199,380000,51,16,12779.43,10392.76,Own,722,68.46,28,31-07-20,08-06-20,Female
554338,02-06-20 12:23,77043,Refinance,Direct Mail,41012011201,282290,36,21,20416.5,0,Own,803,67.21,10,15-07-20,09-06-20,Male
555257,05-06-20 17:25,76226,Refinance,Radio,41012011219,246875,66,21,1170.6,5467.36,Own,790,62.34,43,31-07-20,09-06-20,Male
552328,26-05-20 10:19,77449,Home Equity/Cash Back Refi,TV,41012011221,105000,55,14,6975,2404,Own,683,50.11,29,17-07-20,08-06-20,Male
555559,08-06-20 8:04,77554,Refinance,Internet,41012011236,298300,59,15,17763,0,Own,657,60.56,25,21-10-20,11-08-20,Male
555698,08-06-20 11:20,75025,Refinance,Radio,41012011252,372000,38,16,16666.67,0,Own,733,80,31,04-08-20,08-06-20,Male
530955,12-05-20 8:17,75094,Refinance,Internet,41012011257,76000,53,16,0,15000,Own,703,47.5,31,,08-06-20,Male
554638,03-06-20 13:54,75117,Home Equity/Cash Back Refi,Internet,41012011269,70000,50,12,4749.33,2314.6,Own,647,42.68,22,20-08-20,10-06-20,Female
554214,03-06-20 15:16,75707,Refinance,Repeat Client,41012011273,169306,64,12,3662.29,4304.16,Own,648,73.61,40,07-08-20,09-06-20,Male
555200,05-06-20 15:40,76035,Home Equity/Cash Back Refi,Internet,41012011276,284930,41,16,10759.19,0,Own,782,71.05,26,14-08-20,10-06-20,Male
555728,08-06-20 12:40,75078,Refinance,Internet,41012011287,390000,41,16,14500.01,0,Own,741,76.47,44,28-07-20,08-06-20,Male
555507,08-06-20 8:25,78759,Refinance,Internet,41012011299,293750,57,14,7858.67,0,Own,790,58.75,39,31-07-20,08-06-20,Male
554950,04-06-20 15:34,77494,Refinance,Internet,41012011307,445379,53,18,14166.67,0,Own,789,74.22,23,28-07-20,09-06-20,Male
552589,26-05-20 10:04,75002,Refinance,TV,41012011309,115000,69,16,3111,0,Own,809,52.75,40,29-07-20,09-06-20,Male
555741,08-06-20 12:58,78660,Refinance,Internet,41012011310,275000,39,14,8779.89,0,Own,791,74.32,45,05-08-20,10-06-20,Male
553230,08-06-20 8:54,76273,Refinance,TV,41012011315,70000,70,16,5526.07,0,Own,770,43.75,40,,12-06-20,Male
553225,28-05-20 8:44,76065,Refinance,Repeat Client,41012011317,194662,45,16,3727.84,1617.55,Own,650,73.45,43,05-10-20,13-08-20,Male
552875,27-05-20 8:00,75243,Refinance,Internet,41012011342,145600,46,18,6085,0,Own,655,71.02,36,09-09-20,15-06-20,Female
557076,12-06-20 15:32,77494,Refinance,TV,41012012383,192200,54,16,5008.34,6228.59,Own,802,45.01,20,28-08-20,23-06-20,Female
558056,16-06-20 13:21,77375,Home Equity/Cash Back Refi,TV,41012012406,200000,69,18,3334.5,0,Own,725,66.66,58,,24-06-20,Male
558536,18-06-20 8:08,77479,Refinance,Internet,41012012408,372000,38,18,9166.67,0,Own,816,80,44,20-08-20,26-06-20,Male
559084,20-06-20 10:56,76006,Refinance,Radio,41012012417,199800,42,14,9217.65,5870.24,Own,785,71.35,26,25-08-20,22-06-20,Not Furnished but Male best guess
482959,17-02-20 11:41,75167,Home Equity/Cash Back Refi,Radio,41012012423,286060,52,16,5833,5000,Own,674,62.18,26,,26-10-20,Male
558781,19-06-20 8:09,75407,Refinance,Internet,41012012451,248900,40,12,6439,4397.67,Own,735,95,44,31-08-20,22-06-20,Male
558924,19-06-20 12:47,75224,Refinance,TV,41012012457,303195,36,15,5110.45,7083.33,Own,773,79.78,35,05-08-20,22-06-20,Male
559059,22-06-20 8:31,75075,Refinance,Repeat Client,41012012460,198000,53,12,6801.5,0,Own,662,83.54,43,,22-06-20,Male
559363,22-06-20 10:48,76226,Refinance,Internet,41012012461,289500,41,16,10404.01,0,Own,812,62.25,30,03-08-20,23-06-20,Male
554335,02-06-20 12:55,76065,Refinance,TV,41012012467,248800,36,16,7250,0,Own,799,73.17,37,,22-06-20,Male
559380,22-06-20 11:28,76036,Home Equity/Cash Back Refi,Radio,41012012471,240000,52,16,10000,0,Own,807,80,24,,22-06-20,Male
557588,15-06-20 11:28,75071,Refinance,Internet,41012012486,301185,40,18,13024.04,4307.47,Own,766,75.29,14,,22-06-20,Female
557990,16-06-20 11:51,77459,Refinance,Self Sourced,41012012499,181000,69,16,13702.04,0,Own,702,56.05,35,,23-06-20,Male
559418,22-06-20 13:02,75206,Refinance,Radio,41012012512,387546,47,18,10409.67,12700.17,Own,781,61.51,14,,23-06-20,Not Furnished but Male best guess
559086,20-06-20 11:19,75224,Home Equity/Cash Back Refi,TV,41012012515,122400,55,18,4976.6,0,Own,784,80,25,,23-06-20,Not Furnished but Female best guess
558370,17-06-20 14:19,76054,Refinance,Internet,41012012518,292000,52,14,8167.58,0,Own,738,78.91,48,31-07-20,23-06-20,Unfurnished
558691,18-06-20 15:18,75077,Refinance,Internet,41012012523,195900,68,14,10500,0,Own,801,41.68,29,21-08-20,23-06-20,Male
558772,19-06-20 8:03,75034,Refinance,Internet,41012012527,264000,60,16,3600,3300,Own,761,60.68,31,,23-06-20,Male
558831,19-06-20 9:01,75452,Refinance,TV,41012012529,420000,42,16,16944.02,0,Own,808,75,28,,25-06-20,Male
558965,19-06-20 15:14,75080,Refinance,Internet,41012012537,146500,63,16,11666.66,0,Own,760,23.44,30,10-08-20,23-06-20,Male
559666,23-06-20 11:38,75009,Refinance,Internet,41012012551,251200,62,14,2263,5746.5,Own,795,69.77,54,,23-06-20,Male
559663,23-06-20 11:35,78752,Refinance,TV,41012012573,259800,36,18,11416.66,0,Own,799,83.8,21,,30-06-20,Male
558879,19-06-20 11:01,75070,Refinance,Radio,41012012576,288000,42,16,0,15000,Own,700,82.28,27,,24-06-20,Male
558688,18-06-20 15:19,75238,Home Equity/Cash Back Refi,TV,41012012577,75000,64,16,9575.12,0,Own,778,11.71,47,,09-07-20,Female
559686,23-06-20 12:23,75009,Home Equity/Cash Back Refi,Internet,41012012599,165000,79,18,5627.18,1757.6,Own,801,51.56,16,14-08-20,26-06-20,Male
559449,22-06-20 13:50,78654,Refinance,Internet,41012012600,260800,58,14,4068.23,0,Own,791,80,44,17-08-20,24-06-20,Male
558061,16-06-20 13:35,75034,Refinance,Internet,41012012612,445005,51,18,11476.83,0,Own,752,68.46,36,01-09-20,30-06-20,Male
559243,22-06-20 8:11,77060,Home Equity/Cash Back Refi,Internet,41012012616,123750,54,12,6946.07,0,Own,625,75,43,06-08-20,25-06-20,Male
472336,06-12-19 16:49,75181,Home Equity/Cash Back Refi,Radio,4101201262,100000,55,13,3120,7543.33,Own,663,62.5,16,20-03-20,23-01-20,Male
558766,18-06-20 19:07,78628,Home Equity/Cash Back Refi,Internet,41012012623,198224,35,18,6562.87,4398.85,Own,762,58.3,23,11-08-20,24-06-20,Female
559833,24-06-20 8:02,76016,Home Equity/Cash Back Refi,Internet,41012012630,90000,63,16,7430.57,6309.68,Own,769,32.72,16,05-08-20,24-06-20,Male
558776,19-06-20 8:03,75081,Refinance,Internet,41012012632,295450,31,18,5720,4732.5,Own,719,95,34,,24-06-20,Male
557407,15-06-20 8:37,76266,Refinance,Radio,41012012642,275100,61,14,8128.62,0,Own,735,81.15,26,14-08-20,24-06-20,Male
559941,24-06-20 10:42,75165,Refinance,Internet,41012012644,259600,45,19,3895.83,5625,Own,745,65.72,39,24-08-20,01-07-20,Male
559944,24-06-20 10:48,75069,Home Equity/Cash Back Refi,Internet,41012012646,120000,55,14,4333.33,0,Own,772,63.15,31,26-08-20,24-06-20,Female
559998,24-06-20 12:44,76016,Refinance,Internet,41012012664,175000,49,13,4084.13,3726.67,Own,741,79.54,43,30-09-20,04-08-20,Male
561630,01-07-20 16:23,77469,Refinance,Internet,41012013914,198950,50,18,3298.9,4692.36,Own,790,55.72,33,10-09-20,13-07-20,Male
557028,12-06-20 13:36,77450,Refinance,Internet,41012013919,322000,62,16,12980.42,4673.5,Own,751,78.72,32,29-09-20,15-07-20,Female
564090,13-07-20 10:27,75074,Refinance,Internet,41012013954,388800,29,18,10419.08,0,Own,759,79.34,38,07-10-20,14-07-20,Male
564057,13-07-20 8:51,77478,Refinance,Internet,41012013958,392200,65,18,13034.67,0,Own,803,65.58,23,28-08-20,14-07-20,Male
577070,01-09-20 14:21,75078,Refinance,Internet,41012013966,376000,56,16,6308.75,0,Own,780,55.29,43,,13-07-20,Male
531238,13-05-20 8:09,75048,Refinance,Internet,41012013968,200000,44,16,9237.83,0,Own,737,77.22,43,16-09-20,17-07-20,Male
563402,09-07-20 14:35,77070,Refinance,Internet,41012013996,145600,57,16,11478.49,0,Own,795,80,30,09-09-20,14-07-20,Male
542566,21-05-20 8:10,75069,Refinance,Internet,41012014012,230000,72,12,2586,1078.8,Own,704,65.71,138,,26-08-20,Male
478567,22-01-20 9:21,78702,Refinance,Internet,4101201402,275000,65,20,10000,0,Own,775,50,19,,23-01-20,Female
563783,11-07-20 9:50,76063,Refinance,Internet,41012014047,178983,62,16,9597,0,Own,712,74.57,21,,14-07-20,Male
562905,08-07-20 8:03,76082,Refinance,Internet,41012014059,287000,44,14,7163.97,3640,,651,66.74,,,14-07-20,Female
564392,14-07-20 8:40,76453,Refinance,TV,41012014073,237500,49,16,6066.66,1600,Own,791,67.85,28,,15-07-20,Male
563518,10-07-20 8:02,75068,Refinance,Internet,41012014091,200000,61,23,41533.33,0,Own,698,52.63,7,,14-07-20,Male
564376,14-07-20 8:00,77566,Refinance,Internet,41012014092,264000,47,16,9081.75,0,Own,787,78.8,35,25-09-20,20-07-20,Male
563863,13-07-20 9:27,77380,Refinance,Repeat Client,41012014094,120000,70,12,1034.6,4146.6,Own,707,80,42,,27-07-20,Female
559656,23-06-20 11:04,77433,Refinance,Repeat Client,41012014109,375514,58,16,15000,8164.41,Own,764,51.79,16,14-09-20,20-07-20,Male
562624,07-07-20 10:01,77494,Refinance,Internet,41012014118,398000,44,18,12833,0,Own,695,79.6,45,,04-09-20,Male
563996,13-07-20 8:08,76012,Refinance,Referral,41012014125,186000,61,16,11708.34,0,Own,734,75,35,28-08-20,14-07-20,Male
563384,09-07-20 13:50,77373,Refinance,TV,41012014167,110000,53,15,3934.67,0,Own,641,53.14,27,,14-07-20,Female
563433,09-07-20 15:31,75089,Refinance,Internet,41012014187,83000,53,12,3997.93,0,Own,681,35.31,41,21-09-20,15-07-20,Male
468798,12-11-19 15:59,76117,Refinance,Radio,41012014222,259000,35,12,6250,0,Own,693,78.48,37,,15-07-20,Male
564319,14-07-20 8:01,76244,Refinance,Internet,41012014230,325000,42,16,7505.33,0,Own,779,94.2,39,31-08-20,15-07-20,Male
563270,09-07-20 9:19,75214,Refinance,Internet,41012014246,405206,47,18,12500,0,Own,772,62.33,32,07-10-20,15-07-20,Male
563664,10-07-20 14:13,76018,Refinance,Internet,41012014250,135000,34,12,4898.57,0,Own,785,61.92,25,26-08-20,15-07-20,Female
561918,04-07-20 10:39,75071,Refinance,Internet,41012014252,270000,49,18,8125,0,Own,741,65.85,41,24-09-20,15-07-20,Male
564527,14-07-20 14:25,75238,Refinance,Internet,41012014255,287000,37,16,7500,0,Own,703,57.4,39,,15-07-20,Not Furnished but Male best guess
562916,08-07-20 8:02,77566,Refinance,Internet,41012014256,429000,57,16,10509.17,0,Own,784,60,42,30-09-20,15-07-20,Male
506357,15-04-20 10:27,78640,Refinance,Internet,41012014257,196000,30,16,2522.52,5559.85,Own,667,78.08,35,26-08-20,15-07-20,Female
564846,15-07-20 14:53,77389,Refinance,Internet,41012014270,356000,49,16,0,21792,Own,803,80,22,25-09-20,16-07-20,Male
564880,15-07-20 15:59,77494,Refinance,Internet,41012014271,484500,41,18,0,15446.2,Own,794,69.21,39,31-08-20,15-07-20,Male
564922,15-07-20 17:45,75071,Home Equity/Cash Back Refi,Internet,41012014289,100000,65,14,2644.2,1618.9,Own,791,32.36,44,08-09-20,16-07-20,Male
563504,09-07-20 19:10,78620,Refinance,Internet,41012014294,387000,33,14,6676.8,5512.5,Own,794,72.2,23,01-09-20,16-07-20,Male
563792,11-07-20 10:19,78613,Refinance,Internet,41012014295,294100,45,16,13375.01,0,Own,742,60.02,22,21-09-20,21-07-20,Male
475234,02-01-20 8:11,75025,Refinance,Internet,41012014336,282450,40,16,9999,0,Own,771,59.46,36,,16-07-20,Male
565038,16-07-20 11:29,75024,Home Equity/Cash Back Refi,Repeat Client,41012014340,425000,47,16,15729.7,4910.63,Own,774,73.91,38,21-09-20,16-07-20,Male
567210,23-07-20 11:18,75035,Refinance,Internet,41012015604,316000,55,14,6581.72,6223.14,Own,732,73.48,36,21-09-20,30-07-20,Male
568629,28-07-20 16:17,76034,Refinance,Radio,41012015619,336000,51,18,24138.55,0,Own,803,36.32,19,,29-07-20,Male
568903,29-07-20 15:05,75119,Refinance,Internet,41012015623,118000,35,16,9396.64,4473.24,Own,679,63.39,28,,30-07-20,Male
568814,29-07-20 11:44,75087,Refinance,Internet,41012015628,279946,47,13,4521.83,6285.25,Own,754,84.83,28,25-09-20,29-07-20,Male
567561,24-07-20 13:06,75080,Refinance,Internet,41012015632,427967,40,18,14396.88,11666.67,Own,800,66.14,11,,30-07-20,Male
568898,29-07-20 15:00,75040,Home Equity/Cash Back Refi,Internet,41012015639,196000,69,18,6970.42,0,Own,724,80,31,,30-07-20,Male
568955,29-07-20 17:31,77435,Refinance,Internet,41012015642,140000,44,14,5906.25,0,Own,642,82.35,49,,31-07-20,Male
568795,29-07-20 10:58,76008,Refinance,Internet,41012015647,214000,57,12,7321.25,6059.73,Own,745,71.33,31,23-09-20,31-07-20,Male
569026,30-07-20 8:12,76273,Refinance,Internet,41012015663,251625,60,14,11677.86,0,Own,762,50.32,24,21-09-20,30-07-20,Male
569000,30-07-20 8:00,76063,Refinance,Internet,41012015667,187200,59,16,5217.37,3956.29,Own,761,80,29,05-10-20,30-07-20,Male
569020,30-07-20 8:02,77563,Purchase,Repeat Client,41012015686,324000,49,16,5266,4446,Rent,725,90,47,09-10-20,24-08-20,Female
568548,28-07-20 12:39,77384,Home Equity/Cash Back Refi,Internet,41012015694,80000,73,16,6817.61,1169.5,Own,751,32,27,,06-08-20,Male
567082,23-07-20 9:06,75040,Refinance,Internet,41012015697,177000,39,16,6654.58,0,Own,680,62.1,35,01-10-20,31-07-20,Female
568812,29-07-20 11:39,78748,Refinance,Radio,41012015720,155700,46,16,3649.33,0,Own,761,55.6,48,,30-07-20,Male
567989,27-07-20 8:45,77082,Refinance,Internet,41012015740,193000,61,26,7800.1,0,Own,813,52.16,32,13-10-20,30-07-20,Male
569049,30-07-20 9:15,75001,Refinance,Internet,41012015744,392000,60,18,16702,0,Own,764,80,35,21-10-20,31-07-20,Male
567847,27-07-20 9:01,75034,Refinance,Internet,41012015763,400000,46,18,20234,0,Own,812,46.08,22,30-09-20,31-07-20,Female
569042,30-07-20 8:56,75287,Refinance,Internet,41012015769,190650,51,16,5917.93,0,Own,725,63.97,65,,31-08-20,Male
568901,29-07-20 14:56,76182,Refinance,Referral,41012015787,130000,48,0,7443.67,0,Own,774,57.52,26,,04-08-20,Male
569021,30-07-20 8:00,76135,Home Equity/Cash Back Refi,Internet,41012015788,70000,74,14,2011,0,Own,632,41.66,28,,31-07-20,Male
569123,30-07-20 12:18,76063,Refinance,Internet,41012015799,291650,50,13,5705.06,5119.59,Own,707,95,35,29-09-20,31-07-20,Male
562959,08-07-20 9:36,75424,Refinance,Internet,41012015805,300800,44,12,8417.24,9480.97,Own,672,84.73,36,21-10-20,03-08-20,Male
567931,27-07-20 8:13,76034,Refinance,Internet,41012015810,301875,38,18,18144.79,0,Own,760,57.5,21,,06-08-20,Male
479126,25-01-20 11:31,75034,Refinance,Internet,4101201583,473000,51,0,11666.66,5666.66,Own,796,70.59,26,,28-01-20,Male
566784,22-07-20 11:17,77389,Refinance,Internet,41012015832,185600,56,14,5009.87,0,Own,796,80,45,,07-10-20,Male
569461,19-10-20 10:01,76028,Refinance,TV,41012015839,73800,70,12,3268.58,0,Own,704,39.04,25,16-10-20,31-07-20,Male
569437,31-07-20 14:28,76180,Refinance,TV,41012015842,219925,62,18,12491.05,0,Own,818,72.82,15,28-09-20,31-07-20,Female
569440,31-07-20 14:34,76082,Refinance,Radio,41012015843,212900,48,14,8160.39,3744.95,Own,806,74.96,17,29-09-20,04-08-20,Female
568704,29-07-20 8:00,76226,Home Equity/Cash Back Refi,Internet,41012015860,489000,49,12,4206.15,10918,Own,638,60,35,26-10-20,05-08-20,Male
568768,29-07-20 9:17,78253,Refinance,Internet,41012015865,258400,45,18,8792.42,0,Own,709,95,29,19-10-20,04-08-20,Male
561335,30-06-20 16:03,77450,Home Equity/Cash Back Refi,Internet,41012015887,384000,49,16,8000,4500,Own,717,80,34,,04-08-20,Male
501789,25-03-20 8:12,75211,Home Equity/Cash Back Refi,Internet,41012015888,70000,63,12,3182.05,0,Own,757,53.84,44,,03-08-20,Male
